Simulation,Phase,Kp_x,Kp_y,Kp_z,Kd_x,Kd_y,Kd_z,Cost,FinalAttitudeError,MaxAngularRate,TotalPower,Stable,IsBest
1,exploration,2.34485e-06,1.45293e-08,3.35771e-06,0.000304212,5.50338e-05,0.00319672,604.876,1.39533,0.00320295,0.079956,1,1
2,exploration,9.10072e-07,6.55347e-08,5.68966e-08,0.00923054,0.00179531,0.01202,415.992,1.20822,0.000311493,0.0775585,1,1
3,exploration,7.34987e-07,1.11272e-06,5.88603e-07,0.000168947,0.000797328,0.0247039,15.1845,0.200835,0.000672797,0.0773922,1,1
4,exploration,1.9651e-06,2.48586e-08,6.02688e-06,1.51522e-05,3.19377e-05,0.000845062,1307.02,2.15758,0.0113871,0.0873384,1,0
5,exploration,1.7663e-08,2.66786e-06,1.75776e-06,0.000411849,0.0218419,0.000985095,23.5541,0.285913,9.53631e-05,0.0767138,1,0
6,exploration,2.33771e-08,1.31763e-06,6.66288e-07,7.93715e-05,1.58579e-05,0.00260798,24.893,0.307868,0.000226596,0.0760206,1,0
7,exploration,2.60407e-08,5.61805e-07,1.14684e-08,0.000125254,5.42378e-05,0.00350203,2.51072,0.0869757,0.000179616,0.0754641,1,1
8,exploration,6.12251e-08,1.24136e-08,6.24048e-08,0.000193524,4.37991e-05,0.0255483,779.374,1.63188,0.000754553,0.0776923,1,0
9,exploration,1.28871e-07,2.67457e-06,2.84314e-07,0.0653626,0.000916634,0.00307456,392.985,1.10977,0.0186882,0.0954531,1,0
10,exploration,8.32489e-06,8.45767e-06,4.07377e-07,0.0052051,5.30322e-05,3.77345e-05,803.448,1.56609,0.0254915,0.0974251,1,0
11,exploration,1.10325e-06,7.29266e-06,9.26526e-07,0.00192624,0.00380762,0.0216303,763.857,1.55169,0.00390152,0.105442,1,0
12,exploration,1.05199e-07,6.27819e-06,4.78267e-07,0.0207811,0.00833258,0.0020859,784.271,1.6659,0.00939437,0.106719,1,0
13,exploration,7.34331e-08,3.90656e-08,1.65467e-06,0.000172704,0.000494815,0.0795424,643.634,1.4902,0.000164136,0.0765024,1,0
14,exploration,1.95732e-07,2.01957e-06,6.25339e-07,0.000721641,0.00350737,2.34596e-05,251.224,0.778041,0.00807312,0.0817521,1,0
15,exploration,1.57987e-07,4.0518e-06,3.19774e-07,0.00135989,0.000157676,0.000291236,333.424,0.819525,0.0100589,0.111699,1,0
16,exploration,1.06684e-07,1.95683e-08,1.02755e-06,0.000140036,0.0928717,0.00040665,33.4954,0.342957,0.000533488,0.0766333,1,0
17,exploration,1.07684e-06,2.85071e-08,3.73629e-06,0.000285339,7.2013e-05,0.0140519,524.255,1.30239,0.00212393,0.0804418,1,0
18,exploration,2.99972e-07,6.46729e-06,4.2137e-06,0.0104473,0.0287536,7.19886e-05,173.536,0.362226,0.0657462,0.115546,1,0
19,exploration,1.13968e-06,8.31378e-07,8.49756e-06,0.00229938,0.000492584,0.0306431,692.326,1.5292,0.00324857,0.0917792,1,0
20,exploration,6.33051e-08,6.09301e-08,9.97971e-08,0.00616657,0.0174355,0.000311845,663.597,1.49302,0.00171767,0.0775613,1,0
21,exploration,3.50796e-06,3.88137e-08,5.08447e-07,0.014294,0.00808383,0.0215315,851.253,1.61017,0.00449204,0.0957863,1,0
22,exploration,5.39094e-08,2.68101e-08,3.80933e-07,1.16154e-05,1.6611e-05,0.00258222,759.989,1.62223,0.000834857,0.0759204,1,0
