Iteration,Particle,Kp_x,Kp_y,Kp_z,Kd_x,Kd_y,Kd_z,Cost,FinalAttitudeError,MaxAngularRate,TotalPower,Stable,IsPersonalBest,IsGlobalBest
1,1,1e-008,5.91871e-006,1.01381e-008,0.000263505,0.0238771,3.99198e-005,1.83774,0.0768971,0.000145478,0.0753874,1,1,1
1,2,1.21009e-008,6.5666e-006,1.99441e-008,0.000281822,0.0195651,4.1365e-005,1.75988,0.0753972,0.000144277,0.0753933,1,1,1
1,3,1e-008,9.98888e-006,1.14334e-008,0.000364078,0.0378889,2.60068e-005,1.83322,0.0767635,0.000157825,0.0753944,1,1,0
1,4,1.22603e-008,5.08755e-006,1.80284e-008,0.000152105,0.0319575,5.07077e-005,2.01787,0.0809744,0.000136117,0.075401,1,1,0
2,1,1.02814e-008,6.52417e-006,1.61999e-008,0.000284244,0.0226408,4.1739e-005,1.78499,0.0758893,0.000144026,0.0753903,1,1,0
2,2,1.23559e-008,6.58893e-006,1.81522e-008,0.000271419,0.0215093,3.71988e-005,1.79054,0.0760385,0.000147433,0.0753916,1,0,0
2,3,1.22744e-008,5.9329e-006,1.76214e-008,0.000274258,0.0189894,3.2757e-005,1.80023,0.0762211,0.000151107,0.0753909,1,1,0
2,4,1.27139e-008,6.33399e-006,1.99479e-008,0.000192776,0.0254284,4.24745e-005,1.85053,0.0773118,0.000142523,0.0753973,1,1,0
3,1,1.0849e-008,7.02435e-006,2.85716e-008,0.000296229,0.0180081,4.25473e-005,1.7209,0.0747396,0.000143236,0.0754022,1,1,1
3,2,1.22579e-008,6.57467e-006,2.0572e-008,0.000279473,0.0204051,4.47397e-005,1.75361,0.0752749,0.000141689,0.0753945,1,1,0
3,3,1.41418e-008,4.21937e-006,2.51971e-008,0.000228073,0.0120129,5.0443e-005,1.74232,0.0749899,0.00013715,0.0754038,1,1,0
3,4,1.27165e-008,7.50923e-006,2.14106e-008,0.000372865,0.0180373,3.69754e-005,1.73149,0.0748331,0.000148505,0.0753933,1,1,0
4,1,1.12045e-008,7.34267e-006,4.01594e-008,0.000303661,0.015697,4.30398e-005,1.693,0.0743774,0.000142682,0.0754177,1,1,1
4,2,1.06629e-008,7.08234e-006,3.62485e-008,0.000298231,0.017497,4.71743e-005,1.69628,0.0743561,0.000139657,0.0754142,1,1,0
4,3,1.45442e-008,4.53224e-006,3.74183e-008,0.000214378,0.0111649,5.45692e-005,1.71483,0.0745413,0.00013403,0.0754255,1,1,0
4,4,1.16989e-008,7.88213e-006,2.72267e-008,0.000493686,0.014646,3.74911e-005,1.69585,0.0742137,0.000149016,0.0753979,1,1,0
5,1,1.13866e-008,7.50721e-006,4.76118e-008,0.000307446,0.0146551,4.32881e-005,1.68548,0.0743751,0.000142378,0.0754288,1,1,1
5,2,1.00663e-008,7.3909e-006,5.08341e-008,0.000311973,0.0160212,4.64057e-005,1.68601,0.0744669,0.00013989,0.0754358,1,1,0
5,3,1.24971e-008,7.8586e-006,4.82753e-008,0.000317406,0.0178655,4.4434e-005,1.69338,0.0746053,0.000141363,0.0754305,1,1,0
5,4,1.0799e-008,8.02679e-006,3.11627e-008,0.00038273,0.0132547,4.54997e-005,1.66079,0.0734556,0.000142481,0.0754041,1,1,1
